geneID,variable,value
METTL5,goC,GO:0042995
METTL5,goC,GO:0005634
METTL5,goC,GO:0098794
METTL5,goC,GO:0098793
RIOK3,goC,GO:0005829
RIOK3,goC,GO:0030688
EXOSC8,goC,GO:0005694
EXOSC8,goC,GO:0005737
EXOSC8,goC,GO:0000177
EXOSC8,goC,GO:0005829
EXOSC8,goC,GO:0000178
EXOSC8,goC,GO:0001650
EXOSC8,goC,GO:0043231
EXOSC8,goC,GO:0000176
EXOSC8,goC,GO:0101019
EXOSC8,goC,GO:0005730
EXOSC8,goC,GO:0005654
EXOSC8,goC,GO:0005634
PA2G4,goC,GO:0035578
PA2G4,goC,GO:0005737
PA2G4,goC,GO:0070062
PA2G4,goC,GO:0005576
PA2G4,goC,GO:0016020
PA2G4,goC,GO:0005730
PA2G4,goC,GO:0005634
PA2G4,goC,GO:1990904
EXOSC7,goC,GO:0000177
EXOSC7,goC,GO:0005829
EXOSC7,goC,GO:0000178
EXOSC7,goC,GO:0000176
EXOSC7,goC,GO:0101019
EXOSC7,goC,GO:0005730
EXOSC7,goC,GO:0005654
EXOSC7,goC,GO:0005634
DDX21,goC,GO:0110016
DDX21,goC,GO:0005694
DDX21,goC,GO:0005829
DDX21,goC,GO:0016020
DDX21,goC,GO:0005739
DDX21,goC,GO:0005730
DDX21,goC,GO:0005654
FDXACB1,goC,GO:0005737
ISG20L2,goC,GO:0005730
ISG20L2,goC,GO:0005634
LRRC47,goC,GO:0005575
RPP25,goC,GO:0034451
RPP25,goC,GO:0030681
RPP25,goC,GO:0005730
RPP25,goC,GO:0005654
RPP25,goC,GO:0000172
EXOSC6,goC,GO:0000177
EXOSC6,goC,GO:0005829
EXOSC6,goC,GO:0000178
EXOSC6,goC,GO:0000176
EXOSC6,goC,GO:0101019
EXOSC6,goC,GO:0005730
EXOSC6,goC,GO:0005654
EXOSC6,goC,GO:0005634
PIN4,goC,GO:0005694
PIN4,goC,GO:0005737
PIN4,goC,GO:0005759
PIN4,goC,GO:0005730
PIN4,goC,GO:0005654
PIN4,goC,GO:0005634
PIN4,goC,GO:0030684
PIN4,goC,GO:0005819
ERI1,goC,GO:0005737
ERI1,goC,GO:0071204
ERI1,goC,GO:0005730
ERI1,goC,GO:0005634
PARN,goC,GO:0005737
PARN,goC,GO:0005829
PARN,goC,GO:0098978
PARN,goC,GO:0016607
PARN,goC,GO:0005730
PARN,goC,GO:0005634
PARN,goC,GO:0098794
EIF1AD,goC,GO:0005829
EIF1AD,goC,GO:0043231
